"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-01","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","72",",,W","39",",,W","  240",",,W","  280",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-02","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","56","H,,S","76",",,W","39",",,W","  160",",,W","  170",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-03","9.17",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","63","H,,S","73",",,W","53",",,W","  140",",,W","  150",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-04","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","69","H,,S","78",",,W","50",",,W","   10",",,W","   10",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-05","15.21",",,W",,,"0.01",",,W,2400","0.0","T,,W","0.0",",,W","48","H,,S","50",",,W","35",",,W","  330",",,W","  320",",,W","23.9",",,W","36.0",",,W",,,,,,,"    1",",,W",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-06","9.17",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","41","H,,S","59",",,W","31",",,W","  290",",,W","  290",",,W","23.9",",,W","38.9",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-07","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","50","H,,S","74",",,W","34",",,W","  220",",,W","  220",",,W","17.0",",,W","23.9",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-08","8.28",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","57","H,,S","70",",,W","50",",,W","  140",",,W","  130",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-09","11.86",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","68","H,,S","78",",,W","63",",,W","  170",",,W","  170",",,W","23.0",",,W","32.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-10","8.95",",,W",,,"0.33",",,W,2400","0.0",",,W","0.0",",,W","70","H,,S","73",",,W","51",",,W","  340",",,W","  350",",,W","19.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-11","12.75",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","51",",,W","45",",,W","   10",",,W","   20",",,W","21.9",",,W","30.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-12","6.04",",,W",,,"0.62",",,W,2400","0.0",",,W","0.0",",,W","49","H,,S","68",",,W","44",",,W","  320",",,W","  300",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-13","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","52","H,,S","61",",,W","40",",,W","  330",",,W","  340",",,W","18.1",",,W","28.0",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-14","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","59",",,W","34",",,W","   70",",,W","  100",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-15","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","64",",,W","38",",,W","  210",",,W","  180",",,W","13.0",",,W","18.1",",,W",,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-16","4.47",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","59","H,,S","72",",,W","47",",,W","  220",",,W","  200",",,W","10.1",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-17","8.05",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","67","H,,S","81",",,W","57",",,W","  150",",,W","  130",",,W","15.0",",,W","19.9",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-18","10.29",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","69","H,,S","75",",,W","52",",,W","  360",",,W","   10",",,W","25.9",",,W","38.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-19","10.51",",,W",,,"0.04",",,W,2400","0.0",",,W","0.0",",,W","52","H,,S","53",",,W","48",",,W","   10",",,W","  360",",,W","19.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","29.5443","-98.4839","240.5","2020-02-20","12.97",",,W",,,"0.05",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","50",",,W","45",",,W","   10",",,W","  360",",,W","25.9",",,W","40.0",",,W","    1",",,W",,,,,,,,,,,,
